dataset_id,row_count,name,download_url
87fx-28ei,508708,Wholesale Markets,https://data.cityofnewyork.us/api/views/87fx-28ei/rows.csv?accessType=DOWNLOAD
s7yh-frbm,497727,Capital Project Detail Data - Milestones,https://data.cityofnewyork.us/api/views/s7yh-frbm/rows.csv?accessType=DOWNLOAD
qxzj-vkn2,466403,Campaign Expenditures,https://data.cityofnewyork.us/api/views/qxzj-vkn2/rows.csv?accessType=DOWNLOAD
wed3-5i35,449194,2012 - 2017 Historical Monthly Grade Level Attendance By School,https://data.cityofnewyork.us/api/views/wed3-5i35/rows.csv?accessType=DOWNLOAD
5ijn-vbdv,440528,311 Resolution Satisfaction Survey,https://data.cityofnewyork.us/api/views/5ijn-vbdv/rows.csv?accessType=DOWNLOAD
vx8i-nprf,436724,Civil Service List (Active),https://data.cityofnewyork.us/api/views/vx8i-nprf/rows.csv?accessType=DOWNLOAD
92iy-9c3n,412600,Storefronts Reported Vacant or Not,https://data.cityofnewyork.us/api/views/92iy-9c3n/rows.csv?accessType=DOWNLOAD
e5c5-ieuv,369542,Math Test Results 2006-2012,https://data.cityofnewyork.us/api/views/e5c5-ieuv/rows.csv?accessType=DOWNLOAD
9uqq-k6t8,367859,English Language Arts (ELA) Test Results 2006-2012,https://data.cityofnewyork.us/api/views/9uqq-k6t8/rows.csv?accessType=DOWNLOAD
b9km-gdpy,341299,NYC Council Constituent Services,https://data.cityofnewyork.us/api/views/b9km-gdpy/rows.csv?accessType=DOWNLOAD
a8cg-cxa6,315721,Agency Business Parking Permit (ABPP),https://data.cityofnewyork.us/api/views/a8cg-cxa6/rows.csv?accessType=DOWNLOAD
eguu-7ie3,304733,Digital Tax Map: Condominium Units,https://data.cityofnewyork.us/api/views/eguu-7ie3/rows.csv?accessType=DOWNLOAD
a2gn-nyzs,302088,School Discharge Reporting (Local Law 42),https://data.cityofnewyork.us/api/views/a2gn-nyzs/rows.csv?accessType=DOWNLOAD
p3e6-t4zv,299944,Office of The Comptroller: NYC Employee Retirement System (NYCERS) Holdings Data,https://data.cityofnewyork.us/api/views/p3e6-t4zv/rows.csv?accessType=DOWNLOAD
x3bb-kg5j,277153,2018-2019 Daily Attendance,https://data.cityofnewyork.us/api/views/x3bb-kg5j/rows.csv?accessType=DOWNLOAD
xtsw-fqvh,270353,NYC Parks Events Listing – Event Categories,https://data.cityofnewyork.us/api/views/xtsw-fqvh/rows.csv?accessType=DOWNLOAD
5u2d-n46s,266587,Office of The Comptroller: Teachers Retirement System Holdings Data,https://data.cityofnewyork.us/api/views/5u2d-n46s/rows.csv?accessType=DOWNLOAD
9rz4-mjek,264142,Tax Lien Sale Lists,https://data.cityofnewyork.us/api/views/9rz4-mjek/rows.csv?accessType=DOWNLOAD
48wd-x25j,263536,Multiple Removals 2015-2018,https://data.cityofnewyork.us/api/views/48wd-x25j/rows.csv?accessType=DOWNLOAD
2t89-756w,263536,Suspension Report NYPD Contacts (2015-2018),https://data.cityofnewyork.us/api/views/2t89-756w/rows.csv?accessType=DOWNLOAD
ex6k-ym48,256923,Claims Report - Underlying Settlements and Claims Filed Data,https://data.cityofnewyork.us/api/views/ex6k-ym48/rows.csv?accessType=DOWNLOAD
bk7g-bhsz,252507,New York City Municipal Archives Data Collection: Resources and Instances List,https://data.cityofnewyork.us/api/views/bk7g-bhsz/rows.csv?accessType=DOWNLOAD
xuid-t5nk,246196,2017 - 2020 Monthly Grade Level Attendance by School,https://data.cityofnewyork.us/api/views/xuid-t5nk/rows.csv?accessType=DOWNLOAD
dy3p-ay2d,243520,Office of The Comptroller: Police Retirement System Holdings Data,https://data.cityofnewyork.us/api/views/dy3p-ay2d/rows.csv?accessType=DOWNLOAD
xmiz-qy72,240629,Parks Inspection Program – Public Restroom Feature Ratings,https://data.cityofnewyork.us/api/views/xmiz-qy72/rows.csv?accessType=DOWNLOAD
aht6-vxai,227867,Open Article 7 Petitions,https://data.cityofnewyork.us/api/views/aht6-vxai/rows.csv?accessType=DOWNLOAD
r773-ytwa,226684,2013-2015 School Closure Discharge Reporting,https://data.cityofnewyork.us/api/views/r773-ytwa/rows.csv?accessType=DOWNLOAD
95aa-k2ka,223418,Office of The Comptroller: Fire Department Retirement System Holdings Data,https://data.cityofnewyork.us/api/views/95aa-k2ka/rows.csv?accessType=DOWNLOAD
a23q-dmjn,221305,Agency Authorized Parking Permits,https://data.cityofnewyork.us/api/views/a23q-dmjn/rows.csv?accessType=DOWNLOAD
csps-2ne9,212331,2014-15 To 2016-17 School- Level NYC Regents Report For All Variables,https://data.cityofnewyork.us/api/views/csps-2ne9/rows.csv?accessType=DOWNLOAD
jzhd-m6uv,210826,DCWP Inspections,https://data.cityofnewyork.us/api/views/jzhd-m6uv/rows.csv?accessType=DOWNLOAD
rmsj-k8gu,208052,Watershed Water Quality - Wastewater Qualifiers,https://data.cityofnewyork.us/api/views/rmsj-k8gu/rows.csv?accessType=DOWNLOAD
krx7-u82t,204192,Trade Waste Broker Registrants,https://data.cityofnewyork.us/api/views/krx7-u82t/rows.csv?accessType=DOWNLOAD
c99a-c5ux,198146,NYC Climate Budgeting Report: Climate Alignment Assessment and Capital Climate Investments,https://data.cityofnewyork.us/api/views/c99a-c5ux/rows.csv?accessType=DOWNLOAD
fgqh-vfzz,181073,Routes by Transportation Sites,https://data.cityofnewyork.us/api/views/fgqh-vfzz/rows.csv?accessType=DOWNLOAD
fypi-ruxh,176407,NYC Office of The Comptroller: Board of Education Retirement System (BERS) Holdings Data,https://data.cityofnewyork.us/api/views/fypi-ruxh/rows.csv?accessType=DOWNLOAD
nbpb-zygj,167839,Class Size Report Detail Summary (2010-2015),https://data.cityofnewyork.us/api/views/nbpb-zygj/rows.csv?accessType=DOWNLOAD
2xab-argn,154593,DCWP Payments Received,https://data.cityofnewyork.us/api/views/2xab-argn/rows.csv?accessType=DOWNLOAD
abh8-frsx,147156,2015-2018 School Closure Discharge Reporting,https://data.cityofnewyork.us/api/views/abh8-frsx/rows.csv?accessType=DOWNLOAD
5mad-ntua,141444,VZV_Speed Limits,https://data.cityofnewyork.us/api/views/5mad-ntua/rows.csv?accessType=DOWNLOAD
2iga-a6mk,131165,Zoning Application Portal (ZAP) - BBL,https://data.cityofnewyork.us/api/views/2iga-a6mk/rows.csv?accessType=DOWNLOAD
3z69-v9cd,129177,NYC Climate Budgeting Report: Forecast of Emissions and PM 2.5 Reductions from City Actions,https://data.cityofnewyork.us/api/views/3z69-v9cd/rows.csv?accessType=DOWNLOAD
uxsm-hzx3,126016,Charter Mandated Quarterly Report on Provisionals,https://data.cityofnewyork.us/api/views/uxsm-hzx3/rows.csv?accessType=DOWNLOAD
inkn-q76z,122050,Centerline,https://data.cityofnewyork.us/api/views/inkn-q76z/rows.csv?accessType=DOWNLOAD
6z8x-wfk4,120084,Evictions,https://data.cityofnewyork.us/api/views/6z8x-wfk4/rows.csv?accessType=DOWNLOAD
dpb9-ubdh,109018,CSCL_PlowNYC,https://data.cityofnewyork.us/api/views/dpb9-ubdh/rows.csv?accessType=DOWNLOAD
kgzj-pjna,108590,Off-Year and Special Elections Contribution,https://data.cityofnewyork.us/api/views/kgzj-pjna/rows.csv?accessType=DOWNLOAD
br6q-ssj3,106358,Housing Database Project Level Files,https://data.cityofnewyork.us/api/views/br6q-ssj3/rows.csv?accessType=DOWNLOAD
2bsr-c6qq,103265,Universal Solicitation for Broadband Asset Dataset,https://data.cityofnewyork.us/api/views/2bsr-c6qq/rows.csv?accessType=DOWNLOAD
5zyy-y8am,103259,NYC Building Energy and Water Data Disclosure for Local Law 84 2023 to Present (Data for Calendar Year 2022-Present),https://data.cityofnewyork.us/api/views/5zyy-y8am/rows.csv?accessType=DOWNLOAD
s6dm-mdan,100439,Parks Inspection Program – Daily Immediate Attentions,https://data.cityofnewyork.us/api/views/s6dm-mdan/rows.csv?accessType=DOWNLOAD
